Station ,Planting_Date,Planting_Year,Planting_Month,Planting_Day,Harvest_Date,Harvest_Year,Harvest_Month,Harvest_Day,Period_Name
ECHO,5/3/2018,2018,5,3,8/6/2018,2018,8,6,Summer
ECHO,11/20/2018,2018,11,20,1/22/2019,2019,1,22,Winter
ECHO,5/14/2019,2019,5,14,7/11/2019,2019,7,11,Summer
ECHO,11/16/2019,2019,11,13,1/14/2020,2020,1,14,Winter
ECHO,5/4/2020,2020,5,4,7/1/2020,2020,7,1,Summer
TREC,5/10/2018,2018,5,10,8/15/2018,2018,8,15,Summer
TREC,11/1/2018,2018,11,1,1/11/2019,2019,1,11,Winter
TREC,5/13/2019,2019,5,13,7/11/2019,2019,7,11,Summer
TREC,11/6/2019,2019,11,6,1/6/2020,2020,1,6,Winter
TREC,,2020,5,,,2020,,,Summer
