SampleID,Location,Block,RowNumber,CardinalDirection,Wgt_g,Season,SamplingDate,Year,Month,Day
1,VF,1,1,East,130,Winter,1/14/2020,2020,1,14
2,VF,1,2,West,128,Winter,1/14/2020,2020,1,14
3,VF,1,3,East,183,Winter,1/14/2020,2020,1,14
4,VF,1,4,West,168,Winter,1/14/2020,2020,1,14
5,VF,1,5,East,188,Winter,1/14/2020,2020,1,14
6,VF,1,6,West,100,Winter,1/14/2020,2020,1,14
7,FO,4,1,East,245,Winter,1/14/2020,2020,1,14
8,FO,4,2,West,619,Winter,1/14/2020,2020,1,14
9,FO,4,3,East,544,Winter,1/14/2020,2020,1,14
10,FO,4,4,West,427,Winter,1/14/2020,2020,1,14
11,FO,4,5,East,847,Winter,1/14/2020,2020,1,14
12,FO,4,6,West,337,Winter,1/14/2020,2020,1,14
13,HH,14,1,West,1398,Winter,1/14/2020,2020,1,14
14,HH,14,2,East,995,Winter,1/14/2020,2020,1,14
15,HH,14,3,West,606,Winter,1/14/2020,2020,1,14
16,HH,14,4,East,336,Winter,1/14/2020,2020,1,14
17,HH,14,5,West,501,Winter,1/14/2020,2020,1,14
18,HH,14,6,East,195,Winter,1/14/2020,2020,1,14
19,OC,15,1,West,1542,Winter,1/14/2020,2020,1,14
20,OC,15,2,East,850,Winter,1/14/2020,2020,1,14
21,OC,15,3,West,1406,Winter,1/14/2020,2020,1,14
22,OC,15,4,East,1479,Winter,1/14/2020,2020,1,14
23,OC,15,5,West,1292,Winter,1/14/2020,2020,1,14
24,OC,15,6,East,1471,Winter,1/14/2020,2020,1,14
