SampleID,CropTrt,Location,Row,Cycle,Wt_Beaker_g,Wt_Soil_g,Pre-IgnitionWT_g,Post-IgnitionWT_g,AshWt_g,LOI or SOM (%),LOI or SOM (%)
145,SHVB,SP,1,Pre,13,0.47,13.47,13.49,0.49,4.1,-4.1
146,SSVB,SP,1,Pre,13.08,0.46,13.54,13.54,0.46,0.0,0.0
147,SHSS,SP,1,Pre,12.88,0.41,13.29,13.29,0.41,0.0,0.0
148,SS,SP,1,Pre,13.09,0.39,13.48,13.43,0.34,-14.7,14.7
149,VB,SP,1,Pre,13.18,0.48,13.66,13.67,0.49,2.0,-2.0
150,SH,SP,1,Pre,13.11,0.4,13.51,13.48,0.37,-8.1,8.1
151,SHSS,SP,2,Pre,12.84,0.5,13.34,13.28,0.44,-13.6,13.6
152,SS,SP,2,Pre,13.21,0.42,13.63,13.63,0.42,0.0,0.0
153,SHVB,SP,2,Pre,13.05,0.41,13.46,13.45,0.4,-2.5,2.5
154,VB,SP,2,Pre,13.06,0.43,13.49,13.5,0.44,2.3,-2.3
155,SH,SP,2,Pre,12.84,0.46,13.3,13.22,0.38,-21.1,21.1
156,SSVB,SP,2,Pre,13.13,0.47,13.6,13.56,0.43,-9.3,9.3
157,SS,SP,3,Pre,12.74,0.39,13.13,13.1,0.36,-8.3,8.3
158,SHVB,SP,3,Pre,12.8,0.44,13.24,13.23,0.43,-2.3,2.3
159,SSVB,SP,3,Pre,13.09,0.49,13.58,13.56,0.47,-4.3,4.3
160,SH,SP,3,Pre,13.08,0.44,13.52,13.53,0.45,2.2,-2.2
161,SHSS,SP,3,Pre,13.02,0.5,13.52,13.51,0.49,-2.0,2.0
162,VB,SP,3,Pre,12.89,0.49,13.38,13.33,0.44,-11.4,11.4
163,VB,SP,4,Pre,13.06,0.46,13.52,13.45,0.39,-17.9,17.9
164,SH,SP,4,Pre,13.06,0.44,13.5,13.44,0.38,-15.8,15.8
165,SS,SP,4,Pre,13.04,0.43,13.47,13.45,0.41,-4.9,4.9
166,SHVB,SP,4,Pre,13.18,0.44,13.62,13.6,0.42,-4.8,4.8
167,SSVB,SP,4,Pre,13.1,0.45,13.55,13.52,0.42,-7.1,7.1
168,SHSS,SP,4,Pre,13.1,0.37,13.47,13.44,0.34,-8.8,8.8
169,SH,SP,5,Pre,13.09,0.46,13.55,13.5,0.41,-12.2,12.2
170,SHSS,SP,5,Pre,13.08,0.39,13.47,13.41,0.33,-18.2,18.2
171,VB,SP,5,Pre,13.04,0.38,13.42,13.46,0.42,9.5,-9.5
172,SSVB,SP,5,Pre,13.21,0.42,13.63,13.54,0.33,-27.3,27.3
173,SHVB,SP,5,Pre,12.99,0.39,13.38,13.25,0.26,-50.0,50.0
174,SS,SP,5,Pre,12.84,0.41,13.25,13.25,0.41,0.0,0.0
175,SSVB,SP,6,Pre,12.81,0.48,13.29,13.25,0.44,-9.1,9.1
176,VB,SP,6,Pre,12.76,0.38,13.14,13.13,0.37,-2.7,2.7
177,SH,SP,6,Pre,13.06,0.42,13.48,13.47,0.41,-2.4,2.4
178,SHSS,SP,6,Pre,13.06,0.47,13.53,13.49,0.43,-9.3,9.3
179,SS,SP,6,Pre,13.09,0.48,13.57,13.55,0.46,-4.3,4.3
180,SHVB,SP,6,Pre,13.14,0.42,13.56,13.51,0.37,-13.5,13.5
181,SS,AG,1,Pre,12.78,0.46,13.24,13.19,0.41,-12.2,12.2
182,SH,AG,1,Pre,13.09,0.45,13.54,13.5,0.41,-9.8,9.8
183,SSVB,AG,1,Pre,12.86,0.49,13.35,13.28,0.42,-16.7,16.7
184,SHVB,AG,1,Pre,13.21,0.47,13.68,13.67,0.46,-2.2,2.2
185,SHSS,AG,1,Pre,13.12,0.42,13.54,13.5,0.38,-10.5,10.5
186,VB,AG,1,Pre,13.14,0.47,13.61,13.47,0.33,-42.4,42.4
187,SH,AG,2,Pre,13.07,0.43,13.5,13.46,0.39,-10.3,10.3
188,SHSS,AG,2,Pre,13.05,0.47,13.52,13.48,0.43,-9.3,9.3
189,SHVB,AG,2,Pre,13.05,0.47,13.52,13.43,0.38,-23.7,23.7
190,SS,AG,2,Pre,12.87,0.49,13.36,13.3,0.43,-14.0,14.0
191,VB,AG,2,Pre,13.13,0.43,13.56,13.45,0.32,-34.4,34.4
192,SSVB,AG,2,Pre,13.23,0.45,13.68,13.56,0.33,-36.4,36.4
193,SHVB,AG,3,Pre,12.7,0.47,13.17,13.1,0.4,-17.5,17.5
194,SS,AG,3,Pre,13.14,0.46,13.6,13.51,0.37,-24.3,24.3
195,VB,AG,3,Pre,13.12,0.41,13.53,13.45,0.33,-24.2,24.2
196,SSVB,AG,3,Pre,12.98,0.42,13.4,13.33,0.35,-20.0,20.0
197,SH,AG,3,Pre,13.16,0.38,13.54,13.5,0.34,-11.8,11.8
198,SHSS,AG,3,Pre,13.02,0.41,13.43,13.42,0.4,-2.5,2.5
199,SSVB,AG,4,Pre,13,0.44,13.44,13.4,0.4,-10.0,10.0
200,SHVB,AG,4,Pre,13.24,0.43,13.67,13.58,0.34,-26.5,26.5
201,SHSS,AG,4,Pre,13.03,0.43,13.46,13.44,0.41,-4.9,4.9
202,VB,AG,4,Pre,13.23,0.44,13.67,13.61,0.38,-15.8,15.8
203,SS,AG,4,Pre,13.17,0.47,13.64,13.59,0.42,-11.9,11.9
204,SH,AG,4,Pre,12.83,0.45,13.28,13.25,0.42,-7.1,7.1
205,VB,AG,5,Pre,12.77,0.41,13.18,13.12,0.35,-17.1,17.1
206,SSVB,AG,5,Pre,13.09,0.46,13.55,13.53,0.44,-4.5,4.5
207,SH,AG,5,Pre,13.09,0.42,13.51,13.4,0.31,-35.5,35.5
208,SHSS,AG,5,Pre,12.83,0.48,13.31,13.27,0.44,-9.1,9.1
209,SHVB,AG,5,Pre,13.15,0.46,13.61,13.59,0.44,-4.5,4.5
210,SS,AG,5,Pre,12.89,0.49,13.38,13.32,0.43,-14.0,14.0
211,SHSS,AG,6,Pre,13.13,0.48,13.61,13.54,0.41,-17.1,17.1
212,VB,AG,6,Pre,13.09,0.43,13.52,13.5,0.41,-4.9,4.9
213,SS,AG,6,Pre,12.81,0.46,13.27,13.17,0.36,-27.8,27.8
214,SH,AG,6,Pre,13.13,0.39,13.52,13.47,0.34,-14.7,14.7
215,SSVB,AG,6,Pre,12.79,0.45,13.24,13.08,0.29,-55.2,55.2
216,SHVB,AG,6,Pre,12.81,0.44,13.25,13.2,0.39,-12.8,12.8
145,SHVB,SP,1,Post,13.13,0.47,13.6,13.49,0.36,-30.6,30.6
146,SSVB,SP,1,Post,13.16,0.49,13.65,13.62,0.46,-6.5,6.5
147,SHSS,SP,1,Post,12.77,0.48,13.25,13.21,0.44,-9.1,9.1
148,SS,SP,1,Post,12.93,0.47,13.4,13.33,0.4,-17.5,17.5
149,VB,SP,1,Post,13.15,0.44,13.59,13.5,0.35,-25.7,25.7
150,SH,SP,1,Post,12.85,0.4,13.25,13.22,0.37,-8.1,8.1
151,SHSS,SP,2,Post,13.06,0.41,13.47,13.4,0.34,-20.6,20.6
152,SS,SP,2,Post,12.77,0.42,13.19,13.07,0.3,-40.0,40.0
153,SHVB,SP,2,Post,12.82,0.45,13.27,13.2,0.38,-18.4,18.4
154,VB,SP,2,Post,12.77,0.39,13.16,13.12,0.35,-11.4,11.4
155,SH,SP,2,Post,12.81,0.48,13.29,13.23,0.42,-14.3,14.3
156,SSVB,SP,2,Post,12.79,0.41,13.2,13.13,0.34,-20.6,20.6
157,SS,SP,3,Post,12.82,0.47,13.29,13.18,0.36,-30.6,30.6
158,SHVB,SP,3,Post,13.09,0.41,13.5,13.41,0.32,-28.1,28.1
159,SSVB,SP,3,Post,13.12,0.44,13.56,13.45,0.33,-33.3,33.3
160,SH,SP,3,Post,13.02,0.42,13.44,13.31,0.29,-44.8,44.8
161,SHSS,SP,3,Post,13,0.45,13.45,13.33,0.33,-36.4,36.4
162,VB,SP,3,Post,12.96,0.46,13.42,13.34,0.38,-21.1,21.1
163,VB,SP,4,Post,13.05,0.48,13.53,13.42,0.37,-29.7,29.7
164,SH,SP,4,Post,13.07,0.43,13.5,13.41,0.34,-26.5,26.5
165,SS,SP,4,Post,13.15,0.48,13.63,13.53,0.38,-26.3,26.3
166,SHVB,SP,4,Post,12.81,0.43,13.24,13.15,0.34,-26.5,26.5
167,SSVB,SP,4,Post,13.12,0.41,13.53,13.45,0.33,-24.2,24.2
168,SHSS,SP,4,Post,13.08,0.44,13.52,13.44,0.36,-22.2,22.2
169,SH,SP,5,Post,13.14,0.4,13.54,13.45,0.31,-29.0,29.0
170,SHSS,SP,5,Post,13.04,0.49,13.53,13.43,0.39,-25.6,25.6
171,VB,SP,5,Post,13.07,0.47,13.54,13.48,0.41,-14.6,14.6
172,SSVB,SP,5,Post,13.19,0.44,13.63,13.57,0.38,-15.8,15.8
173,SHVB,SP,5,Post,12.85,0.4,13.25,13.19,0.34,-17.6,17.6
174,SS,SP,5,Post,13.05,0.46,13.51,13.44,0.39,-17.9,17.9
175,SSVB,SP,6,Post,13.07,0.42,13.49,13.4,0.33,-27.3,27.3
176,VB,SP,6,Post,12.84,0.48,13.32,13.21,0.37,-29.7,29.7
177,SH,SP,6,Post,13.15,0.48,13.63,13.53,0.38,-26.3,26.3
178,SHSS,SP,6,Post,12.81,0.42,13.23,13.14,0.33,-27.3,27.3
179,SS,SP,6,Post,12.84,0.48,13.32,13.29,0.45,-6.7,6.7
180,SHVB,SP,6,Post,13.05,0.48,13.53,13.44,0.39,-23.1,23.1
181,SS,AG,1,Post,12.89,0.48,13.37,13.24,0.35,-37.1,37.1
182,SH,AG,1,Post,13.15,0.47,13.62,13.59,0.44,-6.8,6.8
183,SSVB,AG,1,Post,13.11,0.39,13.5,13.42,0.31,-25.8,25.8
184,SHVB,AG,1,Post,12.83,0.41,13.24,13.2,0.37,-10.8,10.8
185,SHSS,AG,1,Post,12.88,0.47,13.35,13.33,0.45,-4.4,4.4
186,VB,AG,1,Post,13.1,0.39,13.49,13.44,0.34,-14.7,14.7
187,SH,AG,2,Post,13.11,0.45,13.56,13.41,0.3,-50.0,50.0
188,SHSS,AG,2,Post,12.78,0.39,13.17,13.15,0.37,-5.4,5.4
189,SHVB,AG,2,Post,12.83,0.47,13.3,13.2,0.37,-27.0,27.0
190,SS,AG,2,Post,13.2,0.39,13.59,13.44,0.24,-62.5,62.5
191,VB,AG,2,Post,13.06,0.42,13.48,13.39,0.33,-27.3,27.3
192,SSVB,AG,2,Post,13.11,0.39,13.5,13.38,0.27,-44.4,44.4
193,SHVB,AG,3,Post,13.02,0.43,13.45,13.4,0.38,-13.2,13.2
194,SS,AG,3,Post,13.01,0.43,13.44,13.39,0.38,-13.2,13.2
195,VB,AG,3,Post,13.18,0.47,13.65,13.58,0.4,-17.5,17.5
196,SSVB,AG,3,Post,12.84,0.48,13.32,13.28,0.44,-9.1,9.1
197,SH,AG,3,Post,13.03,0.38,13.41,13.37,0.34,-11.8,11.8
198,SHSS,AG,3,Post,13.11,0.45,13.56,13.44,0.33,-36.4,36.4
199,SSVB,AG,4,Post,13.1,0.45,13.55,13.49,0.39,-15.4,15.4
200,SHVB,AG,4,Post,13.04,0.42,13.46,13.4,0.36,-16.7,16.7
201,SHSS,AG,4,Post,13.03,0.44,13.47,13.41,0.38,-15.8,15.8
202,VB,AG,4,Post,13.08,0.47,13.55,13.48,0.4,-17.5,17.5
203,SS,AG,4,Post,13.03,0.39,13.42,13.37,0.34,-14.7,14.7
204,SH,AG,4,Post,13.11,0.44,13.55,13.4,0.29,-51.7,51.7
205,VB,AG,5,Post,13.05,0.48,13.53,13.47,0.42,-14.3,14.3
206,SSVB,AG,5,Post,13.04,0.39,13.43,13.32,0.28,-39.3,39.3
207,SH,AG,5,Post,12.81,0.48,13.29,13.12,0.31,-54.8,54.8
208,SHSS,AG,5,Post,13.11,0.41,13.52,13.4,0.29,-41.4,41.4
209,SHVB,AG,5,Post,12.81,0.42,13.23,13.11,0.3,-40.0,40.0
210,SS,AG,5,Post,13.18,0.44,13.62,13.53,0.35,-25.7,25.7
211,SHSS,AG,6,Post,13.16,0.47,13.63,13.55,0.39,-20.5,20.5
212,VB,AG,6,Post,13,0.43,13.43,13.4,0.4,-7.5,7.5
213,SS,AG,6,Post,13.19,0.46,13.65,13.45,0.26,-76.9,76.9
214,SH,AG,6,Post,12.85,0.38,13.23,13.09,0.24,-58.3,58.3
215,SSVB,AG,6,Post,12.79,0.45,13.24,13.11,0.32,-40.6,40.6
216,SHVB,AG,6,Post,13.14,0.42,13.56,13.48,0.34,-23.5,23.5
