SamplingWeek,Location,CropTrt,avg_Height_mm,sd_Height_mm
2,FO,SH,136.17,6.05
2,FO,SHSS,134.83,7.14
2,FO,SHVB,138.83,9.13
2,HH,SH,139.17,9
2,HH,SHSS,147.33,18.16
2,HH,SHVB,131.5,9.16
2,OC,SH,167,16.35
2,OC,SHSS,170,11.68
2,OC,SHVB,173.17,11.94
2,VF,SH,110,9.65
2,VF,SHSS,114.5,6.09
2,VF,SHVB,109.83,10.15
4,FO,SH,321,33.95
4,FO,SHSS,310.17,25.08
4,FO,SHVB,324.67,28.89
4,HH,SH,NaN,NaN
4,HH,SHSS,NaN,NaN
4,HH,SHVB,NaN,NaN
4,OC,SH,476.17,70.72
4,OC,SHSS,473.17,70.68
4,OC,SHVB,411.83,32.23
4,VF,SH,224.5,22.01
4,VF,SHSS,229,21.45
4,VF,SHVB,229.83,16.81
6,FO,SH,716.17,120.86
6,FO,SHSS,690,101.8
6,FO,SHVB,687.17,70.79
6,HH,SH,882,177.68
6,HH,SHSS,889.67,172.88
6,HH,SHVB,882,188.14
6,OC,SH,1201.33,124.65
6,OC,SHSS,1208.83,144.86
6,OC,SHVB,1151,88.98
6,VF,SH,483.17,74.96
6,VF,SHSS,458.83,53.99
6,VF,SHVB,485.17,80.53
8,FO,SH,1275.33,190.49
8,FO,SHSS,1163.83,182.01
8,FO,SHVB,1310.33,194.49
8,HH,SH,1363,278.84
8,HH,SHSS,1454.5,221.65
8,HH,SHVB,1387.83,212.66
8,OC,SH,1786.5,108.6
8,OC,SHSS,1696,250.23
8,OC,SHVB,1811.67,121.17
8,VF,SH,813.5,148.04
8,VF,SHSS,792.67,181.45
8,VF,SHVB,847.83,83.01
