SamplingWeek,Location,CropTrt,avg_Height_mm,sd_Height_mm,avg_Chlorophyll_CI,sd_Chlorophyll_CI
4,FO,SH,220.56,27.09,24.89,1.58
4,FO,SHSS,201.94,30.79,26.29,2.08
4,FO,SHVB,196.39,26.91,26.71,1.51
4,HH,SH,219.17,13.5,27.41,1.43
4,HH,SHSS,200,12.43,26.12,3.11
4,HH,SHVB,207.28,13.3,26.3,1.34
4,OC,SH,282.5,38.81,25.56,1.19
4,OC,SHSS,269.17,41.6,25.43,1.99
4,OC,SHVB,278.33,38.63,25.82,3.64
4,VF,SH,195.28,12.8,26.53,1.87
4,VF,SHSS,178.06,28.31,25.86,1.65
4,VF,SHVB,196.11,9.98,26.56,1.25
6,FO,SH,376.67,35.37,29.66,2.56
6,FO,SHSS,382.22,21.49,31.17,2.97
6,FO,SHVB,358.61,24.21,29.15,4.45
6,HH,SH,368.06,58.26,28.17,3.4
6,HH,SHSS,349.44,54.73,28.87,2.88
6,HH,SHVB,360.56,42.25,29.23,4.38
6,OC,SH,483.89,71.29,28.54,2.72
6,OC,SHSS,492.78,79.72,29.32,2.85
6,OC,SHVB,445.83,67.81,29.55,1.84
6,VF,SH,387.78,30.98,28.68,3.06
6,VF,SHSS,350,19.29,29.7,2.96
6,VF,SHVB,382.5,39.65,29.05,3.46
8,FO,SH,544.44,89.12,31.56,3.69
8,FO,SHSS,560,69.47,32.72,1.91
8,FO,SHVB,559.17,77.73,31.81,4.19
8,HH,SH,483.33,103.18,36.22,3.49
8,HH,SHSS,534.72,104.41,31.98,4.45
8,HH,SHVB,553.61,106.98,33.08,4.31
8,OC,SH,650.83,105.36,35.54,2.27
8,OC,SHSS,752.22,97.72,36.15,4.63
8,OC,SHVB,687.22,64.59,37.7,1.91
8,VF,SH,563.89,52.69,32.41,3.64
8,VF,SHSS,514.72,37.93,33.1,3.72
8,VF,SHVB,535.56,69.6,32.55,3.36
